Year,Temperature,Precipitation,Scenario,Model
2036,23.616126893939395,1644.2494949180568,ssp245,inm-cm5-0
2036,23.576960227272725,1691.8464326576993,ssp245,miroc6
2036,23.37902462121212,1936.6520678881448,ssp245,mpi-esm1-2-hr
2036,23.795009469696968,1753.5782402675848,ssp245,noresm2-mm
2036,24.554744318181818,2013.4075585020817,ssp370,access-cm2
2036,23.974460227272726,2268.0324888552054,ssp370,inm-cm5-0
2036,24.581126893939395,1448.6723519322434,ssp370,miroc6
2036,24.63402462121212,1385.0339770397784,ssp370,mpi-esm1-2-hr
2036,23.88750946969697,1921.2896639879132,ssp370,noresm2-mm
2036,24.38557765151515,1844.5424164177944,ssp585,access-cm2
2036,24.231960227272726,2529.909605818792,ssp585,inm-cm5-0
2036,25.11529356060606,1443.5332694007577,ssp585,miroc6
2036,23.22902462121212,2044.7751373956328,ssp585,mpi-esm1-2-hr
2036,23.596676136363637,1953.7550559803922,ssp585,noresm2-mm
2037,24.381410984848486,2115.1171469374644,ssp126,access-cm2
2037,24.101126893939394,2517.722259148551,ssp126,inm-cm5-0
2037,24.60279356060606,1884.2540137429814,ssp126,miroc6
2037,23.531524621212117,2337.234587033444,ssp126,mpi-esm1-2-hr
2037,24.694176136363637,1298.1103783262758,ssp126,noresm2-mm
2037,23.751410984848487,1596.488313523008,ssp245,access-cm2
2037,24.503626893939394,2062.789590471996,ssp245,inm-cm5-0
2037,24.360293560606056,1993.219277402636,ssp245,miroc6
2037,23.59569128787879,1858.7719886124594,ssp245,mpi-esm1-2-hr
2037,24.399176136363636,1875.3569141668293,ssp245,noresm2-mm
2037,24.003910984848485,1602.4192527756184,ssp370,access-cm2
2037,23.81529356060606,1822.7923064236072,ssp370,inm-cm5-0
2037,24.485293560606063,1903.0474450250974,ssp370,miroc6
2037,24.55152462121212,1342.2309709246804,ssp370,mpi-esm1-2-hr
2037,23.940842803030304,1655.5944899196156,ssp370,noresm2-mm
2037,24.073910984848485,1703.2427716947186,ssp585,access-cm2
2037,23.956126893939395,2135.1587900386216,ssp585,inm-cm5-0
2037,25.359460227272724,1345.3963740885783,ssp585,miroc6
2037,23.800691287878788,1708.7148029598068,ssp585,mpi-esm1-2-hr
2037,23.533342803030305,1683.8990407544686,ssp585,noresm2-mm
2038,24.183910984848485,1922.6818093728425,ssp126,access-cm2
2038,23.326126893939392,1816.6746274757033,ssp126,inm-cm5-0
2038,23.856126893939393,1918.145837308753,ssp126,miroc6
2038,23.130691287878786,1788.6009225202445,ssp126,mpi-esm1-2-hr
2038,24.36250946969697,1933.7633162150396,ssp126,noresm2-mm
2038,24.20974431818182,1804.2639616726237,ssp245,access-cm2
2038,23.936960227272724,2711.169478620026,ssp245,inm-cm5-0
2038,25.559460227272726,1576.7429955639632,ssp245,miroc6
2038,23.914857954545454,1769.2412341500324,ssp245,mpi-esm1-2-hr
2038,24.28167613636364,1456.1856739472569,ssp245,noresm2-mm
2038,24.95974431818182,1657.0796096814415,ssp370,access-cm2
2038,24.059460227272726,1977.4241614905548,ssp370,inm-cm5-0
2038,25.46029356060606,1585.6801711299042,ssp370,miroc6
2038,24.58069128787879,1824.338418530142,ssp370,mpi-esm1-2-hr
2038,23.364176136363636,1948.5012678344585,ssp370,noresm2-mm
2038,23.668910984848484,2077.908324305399,ssp585,access-cm2
2038,24.269460227272727,2322.144155919211,ssp585,inm-cm5-0
2038,24.24029356060606,2006.222531675373,ssp585,miroc6
2038,24.43652462121212,2238.368751811716,ssp585,mpi-esm1-2-hr
2038,23.39500946969697,2186.7675529831668,ssp585,noresm2-mm
2039,24.54557765151515,1577.792098920803,ssp126,access-cm2
2039,24.16779356060606,1770.9506708336266,ssp126,inm-cm5-0
2039,23.846960227272728,1840.0318924066169,ssp126,miroc6
2039,23.96152462121212,1800.5809085143762,ssp126,mpi-esm1-2-hr
2039,23.83500946969697,2258.308925818458,ssp126,noresm2-mm
2039,23.946410984848484,1774.9938938321748,ssp245,access-cm2
2039,24.591126893939393,1826.0309018703363,ssp245,inm-cm5-0
2039,24.53112689393939,1836.3737198358892,ssp245,miroc6
2039,23.37485795454545,2090.4980917104403,ssp245,mpi-esm1-2-hr
2039,23.43500946969697,2219.402225122419,ssp245,noresm2-mm
2039,24.548910984848487,2026.373681318204,ssp370,access-cm2
2039,23.521126893939392,1862.9244159946631,ssp370,inm-cm5-0
2039,24.236126893939396,1577.069259952005,ssp370,miroc6
2039,24.168191287878788,1587.555182654557,ssp370,mpi-esm1-2-hr
2039,22.83500946969697,1846.14772154569,ssp370,noresm2-mm
2039,23.929744318181818,2092.2895145666716,ssp585,access-cm2
2039,24.336960227272726,2048.121791107085,ssp585,inm-cm5-0
2039,24.594460227272723,1607.3446782960723,ssp585,miroc6
2039,24.06319128787879,1707.0787221767912,ssp585,mpi-esm1-2-hr
2039,24.105842803030303,2067.3478032656126,ssp585,noresm2-mm
2040,24.658910984848486,1646.4980098548856,ssp126,access-cm2
2040,23.69779356060606,2139.5370885585367,ssp126,inm-cm5-0
2040,23.71362689393939,1584.204757413264,ssp126,miroc6
2040,24.00902462121212,1823.7946810257597,ssp126,mpi-esm1-2-hr
2040,24.496676136363636,1819.4734815765378,ssp126,noresm2-mm
2040,24.312244318181815,1864.4058211948739,ssp245,access-cm2
2040,23.66529356060606,1794.7067525110908,ssp245,inm-cm5-0
2040,23.96862689393939,1692.5558865273624,ssp245,miroc6
2040,22.85402462121212,2043.0185069421543,ssp245,mpi-esm1-2-hr
2040,23.447509469696968,2003.3097654438566,ssp245,noresm2-mm
2040,24.429744318181818,1662.6143751682823,ssp370,access-cm2
2040,24.405293560606058,1809.1302515469747,ssp370,inm-cm5-0
2040,25.096960227272728,1398.7559112180168,ssp370,miroc6
2040,24.39319128787879,1752.2696021473919,ssp370,mpi-esm1-2-hr
2040,22.855842803030303,1810.5498313674334,ssp370,noresm2-mm
2040,23.736410984848487,2346.309112486363,ssp585,access-cm2
2040,23.32279356060606,1853.3247603821017,ssp585,inm-cm5-0
2040,25.766960227272723,1806.1681078493687,ssp585,miroc6
